do_jump_id,command,command_name,latitude,longitude,altitude_m,speed_mps,spray_on
159,16,WAYPOINT_SPRAY,54.1761668949,12.3148788538,10.0,3.5,False
160,16,WAYPOINT_TURN,54.176178934,12.3148744408,10.0,3.5,False
161,16,WAYPOINT_SPRAY,54.1761632192,12.3141700882,10.0,3.5,False
162,16,WAYPOINT_TURN,54.176175151,12.3141608695,10.0,3.5,False
163,16,WAYPOINT_SPRAY,54.1761909731,12.3148700277,10.0,3.5,False
164,16,WAYPOINT_TURN,54.1762030122,12.3148656147,10.0,3.5,False
165,16,WAYPOINT_SPRAY,54.1761870829,12.3141516508,10.0,3.5,False
166,16,WAYPOINT_TURN,54.1761991884,12.3141502179,10.0,3.5,False
167,16,WAYPOINT_SPRAY,54.1762150512,12.3148612017,10.0,3.5,False
168,16,WAYPOINT_TURN,54.1762270903,12.3148567886,10.0,3.5,False
169,16,WAYPOINT_SPRAY,54.1762113757,12.3141524499,10.0,3.5,False
170,16,WAYPOINT_TURN,54.1762235631,12.3141546819,10.0,3.5,False
171,16,WAYPOINT_SPRAY,54.1762391294,12.3148523756,10.0,3.5,False
172,16,WAYPOINT_TURN,54.1762511685,12.3148479625,10.0,3.5,False
173,16,WAYPOINT_SPRAY,54.1762357504,12.3141569139,10.0,3.5,False
174,16,WAYPOINT_TURN,54.1762479377,12.3141591459,10.0,3.5,False
175,16,WAYPOINT_SPRAY,54.1762632076,12.3148435495,10.0,3.5,False
176,16,WAYPOINT_TURN,54.1762752466,12.3148391364,10.0,3.5,False
177,16,WAYPOINT_SPRAY,54.1762601251,12.3141613779,10.0,3.5,False
178,16,WAYPOINT_TURN,54.1762726925,12.3141806429,10.0,3.5,False
179,16,WAYPOINT_SPRAY,54.1762872857,12.3148347233,10.0,3.5,False
180,16,WAYPOINT_TURN,54.1762993248,12.3148303103,10.0,3.5,False
181,16,WAYPOINT_SPRAY,54.1762950638,12.3146393147,10.0,3.5,False
182,16,WAYPOINT_TURN,54.1762932614,12.3145585269,10.0,3.5,False
183,16,WAYPOINT_SPRAY,54.1762853545,12.3142041472,10.0,3.5,False
184,16,WAYPOINT_TURN,54.1762980164,12.3142276515,10.0,3.5,False
185,16,WAYPOINT_SPRAY,54.1763048224,12.3145326862,10.0,3.5,False
186,16,WAYPOINT_TURN,54.1763078258,12.3146673062,10.0,3.5,False
187,16,WAYPOINT_SPRAY,54.1763113639,12.3148258972,10.0,3.5,False
188,16,WAYPOINT_TURN,54.1763234029,12.3148214842,10.0,3.5,False
189,16,WAYPOINT_SPRAY,54.1763201923,12.3146775674,10.0,3.5,False
190,16,WAYPOINT_TURN,54.1763164732,12.314510871,10.0,3.5,False
191,16,WAYPOINT_SPRAY,54.1763106784,12.3142511558,10.0,3.5,False
192,16,WAYPOINT_TURN,54.1763233404,12.3142746601,10.0,3.5,False
193,16,WAYPOINT_SPRAY,54.176328124,12.3144890557,10.0,3.5,False
194,16,WAYPOINT_TURN,54.1763324352,12.3146822912,10.0,3.5,False
195,16,WAYPOINT_SPRAY,54.176335442,12.3148170711,10.0,3.5,False
196,16,WAYPOINT_TURN,54.1763474811,12.314812658,10.0,3.5,False
197,16,WAYPOINT_SPRAY,54.1763446781,12.314687015,10.0,3.5,False
198,16,WAYPOINT_TURN,54.176356921,12.3146917388,10.0,3.5,False
199,16,WAYPOINT_SPRAY,54.1763593273,12.3147996003,10.0,3.5,False
200,16,WAYPOINT_TURN,54.1763709711,12.3147774694,10.0,3.5,False
201,16,WAYPOINT_SPRAY,54.1763698019,12.3147250581,10.0,3.5,False
202,16,WAYPOINT_TRANSIT,54.1757440041,12.3161281964,10.0,3.5,False
203,16,WAYPOINT_SPRAY,54.175744553,12.3161528167,10.0,3.5,False
204,16,WAYPOINT_TURN,54.1757330376,12.3161807186,10.0,3.5,False
205,16,WAYPOINT_SPRAY,54.1757310928,12.3160934981,10.0,3.5,False
206,16,WAYPOINT_TURN,54.175718814,12.3160871592,10.0,3.5,False
207,16,WAYPOINT_SPRAY,54.1757215223,12.3162086205,10.0,3.5,False
208,16,WAYPOINT_TURN,54.1757100069,12.3162365223,10.0,3.5,False
209,16,WAYPOINT_SPRAY,54.1757066107,12.3160842118,10.0,3.5,False
210,16,WAYPOINT_TURN,54.1756946284,12.3160911739,10.0,3.5,False
211,16,WAYPOINT_SPRAY,54.1756984383,12.316262041,10.0,3.5,False
212,16,WAYPOINT_TURN,54.1756865204,12.3162718877,10.0,3.5,False
213,16,WAYPOINT_SPRAY,54.1756826462,12.3160981359,10.0,3.5,False
214,16,WAYPOINT_TURN,54.1756706639,12.3161050979,10.0,3.5,False
215,16,WAYPOINT_SPRAY,54.1756746024,12.3162817344,10.0,3.5,False
216,16,WAYPOINT_TURN,54.1756626844,12.3162915811,10.0,3.5,False
217,16,WAYPOINT_SPRAY,54.1756586816,12.31611206,10.0,3.5,False
218,16,WAYPOINT_TURN,54.1756466993,12.316119022,10.0,3.5,False
219,16,WAYPOINT_SPRAY,54.1756506952,12.3162982327,10.0,3.5,False
220,16,WAYPOINT_TURN,54.1756385829,12.3162993651,10.0,3.5,False
221,16,WAYPOINT_SPRAY,54.175634717,12.316125984,10.0,3.5,False
222,16,WAYPOINT_TURN,54.1756224864,12.3161218094,10.0,3.5,False
